Name,2021 Rank,2021 Count,2020 Rank,2020 Count,2019 Rank,2019 Count,2018 Rank,2018 Count,2017 Rank,2017 Count,2016 Rank,2016 Count,2015 Rank,2015 Count,2014 Rank,2014 Count,2013 Rank,2013 Count,2012 Rank,2012 Count,2011 Rank,2011 Count,2010 Rank,2010 Count,2009 Rank,2009 Count,2008 Rank,2008 Count,2007 Rank,2007 Count,2006 Rank,2006 Count,2005 Rank,2005 Count,2004 Rank,2004 Count,2003 Rank,2003 Count,2002 Rank,2002 Count,2001 Rank,2001 Count,2000 Rank,2000 Count,1999 Rank,1999 Count,1998 Rank,1998 Count,1997 Rank,1997 Count,1996 Rank,1996 Count
A,"3,451",5,"3,848",4,"2,104",10,"3,959",4,"3,996",4,"2,335",9,"2,020",11,"2,964",6,"2,660",7,"1,589",15,"2,613",7,"2,941",6,[x],[x],"3,158",5,"2,741",6,"2,870",5,[x],[x],[x],[x],[x],[x],[x],[x],"3,134",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
A-Jay,"3,451",5,"2,960",6,[x],[x],"3,011",6,"1,923",12,"2,335",9,"2,707",7,"3,895",4,"2,403",8,"3,416",5,"2,613",7,"2,629",7,"3,744",4,"3,158",5,"3,095",5,"2,870",5,"3,849",3,"1,878",8,[x],[x],"2,636",4,"3,134",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
A.J.,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,527",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,943",3,[x],[x],[x],[x],[x],[x]
Aaban,"3,990",4,"3,848",4,"3,937",4,"3,412",5,"2,324",9,"4,810",3,"2,319",9,"1,281",20,"1,706",13,"1,313",19,"1,909",11,"2,036",10,"3,227",5,"2,507",7,"4,333",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aabid,[x],[x],"4,608",3,"3,937",4,"3,959",4,"3,996",4,"4,810",3,"3,004",6,"4,632",3,[x],[x],[x],[x],[x],[x],"3,332",5,[x],[x],[x],[x],[x],[x],"4,052",3,[x],[x],[x],[x],[x],[x],[x],[x],"3,134",3,"2,142",5,[x],[x],"2,901",3,[x],[x],[x],[x]
Aadam,457,90,456,86,327,140,328,140,421,104,326,145,322,143,374,109,373,109,434,91,467,80,543,63,432,87,461,77,470,72,472,66,374,84,413,67,381,69,334,77,444,48,472,42,418,53,430,49,578,30,588,28
Aadan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,632",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadarsh,[x],[x],[x],[x],[x],[x],[x],[x],"3,040",6,[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],"3,830",4,[x],[x],[x],[x],[x],[x],"3,589",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaden,"3,451",5,[x],[x],[x],[x],"2,693",7,"3,996",4,"2,556",8,[x],[x],[x],[x],"3,315",5,[x],[x],"4,647",3,"2,941",6,"3,744",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadesh,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,908",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadham,[x],[x],[x],[x],"3,937",4,[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],"4,805",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,467",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhav,"3,451",5,"4,608",3,"3,937",4,"3,959",4,[x],[x],"4,023",4,"3,908",4,[x],[x],"4,685",3,"2,721",7,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadheen,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhi,"3,017",6,"3,334",5,[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhidev,[x],[x],[x],[x],[x],[x],"4,749",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhil,[x],[x],[x],[x],"4,702",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhiran,"3,451",5,"3,848",4,[x],[x],"4,749",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhithya,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,805",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadhvik,[x],[x],"3,334",5,"3,937",4,[x],[x],[x],[x],"4,810",3,"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadi,"1,984",11,"3,848",4,"2,266",9,"3,412",5,"2,052",11,"3,079",6,"1,902",12,"1,486",16,"1,920",11,"1,756",13,"1,909",11,"1,551",15,"1,099",23,"1,596",13,"2,741",6,"1,280",16,"1,851",9,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadidev,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadil,"1,448",17,"1,825",12,"2,266",9,"1,382",18,"2,172",10,"1,704",14,"1,442",17,"1,144",23,"1,462",16,"1,507",16,976,28,"1,241",20,"1,425",16,"1,242",19,820,32,832,30,666,39,678,35,746,28,586,34,559,34,579,32,507,39,571,32,694,23,588,28
Aadit,"3,990",4,"4,608",3,"2,728",7,"4,749",3,"3,040",6,"4,810",3,"4,747",3,[x],[x],"3,822",4,"2,117",10,"4,647",3,"3,332",5,"1,859",11,"3,687",4,"3,095",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadith,[x],[x],"4,608",3,[x],[x],"4,749",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaditya,[x],[x],"3,334",5,"4,702",3,"2,112",10,"1,627",15,"2,335",9,"3,373",5,"1,721",13,"2,055",10,"1,756",13,"2,194",9,"2,036",10,"2,318",8,"3,158",5,"1,885",10,"3,385",4,"2,754",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,943",3,[x],[x],"2,859",3,[x],[x]
Aadiv,"4,789",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadvik,"2,493",8,"2,960",6,"1,745",13,"1,610",15,"1,703",14,"2,335",9,"2,483",8,"3,895",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aadya,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,805",3,"3,830",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aahaan,[x],[x],[x],[x],[x],[x],"3,959",4,[x],[x],"4,023",4,"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aahad,"3,990",4,"4,608",3,[x],[x],"3,412",5,[x],[x],[x],[x],[x],[x],[x],[x],"4,685",3,[x],[x],[x],[x],[x],[x],[x],[x],"4,432",3,[x],[x],[x],[x],[x],[x],"2,578",5,"3,467",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aahan,"1,688",14,"1,935",11,"2,266",9,"2,259",9,"2,324",9,"2,335",9,"3,004",6,"2,964",6,[x],[x],"3,416",5,"3,830",4,[x],[x],"4,527",3,"3,687",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aahid,"3,990",4,[x],[x],"3,411",5,"3,959",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aahil,452,91,420,97,399,109,399,107,409,107,399,108,442,92,475,83,611,56,606,58,852,34,744,40,972,27,"1,124",22,"2,023",9,"3,385",4,"1,851",9,"2,070",7,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaiz,[x],[x],[x],[x],[x],[x],"4,749",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aajay,"4,789",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aakarsh,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,527",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aakash,"3,990",4,[x],[x],"3,937",4,[x],[x],"4,812",3,[x],[x],"4,747",3,"3,895",4,"3,822",4,[x],[x],"3,300",5,"3,865",4,"4,527",3,[x],[x],"3,589",4,"4,052",3,"2,174",7,"1,878",8,"2,189",6,[x],[x],"1,746",7,"2,501",4,"1,281",10,"1,055",13,"1,174",11,"1,337",9
Aakif,"3,990",4,[x],[x],[x],[x],[x],[x],"3,449",5,"4,810",3,"2,707",7,"4,632",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aalim,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,908",4,[x],[x],"4,685",3,[x],[x],"4,647",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaliyaan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaliyan,"3,017",6,[x],[x],"3,013",6,"1,786",13,"3,996",4,"4,023",4,"4,747",3,"3,362",5,[x],[x],[x],[x],[x],[x],[x],[x],"3,744",4,"4,432",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaman,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,432",3,"4,333",3,[x],[x],[x],[x],"3,651",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,337",4,"2,863",3
Aamar,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,134",3,[x],[x],[x],[x],[x],[x],"2,859",3,[x],[x]
Aamari,[x],[x],[x],[x],[x],[x],[x],[x],"3,449",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aamer,"4,789",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,865",4,"4,527",3,[x],[x],[x],[x],[x],[x],"3,849",3,[x],[x],[x],[x],"2,636",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aamil,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,416",5,"3,830",4,"4,678",3,"4,527",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aamir,"2,301",9,"1,723",13,"2,266",9,"1,324",19,"1,398",18,"1,234",22,977,30,"1,486",16,"1,247",20,"1,367",18,"1,158",22,"1,055",26,"1,494",15,"1,124",22,"1,125",21,960,24,"1,190",17,"1,160",16,761,27,671,29,617,30,673,27,454,47,554,33,438,46,379,57
Aanav,"3,451",5,"3,848",4,"3,937",4,[x],[x],"3,996",4,[x],[x],"3,908",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aanay,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,810",3,"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aanis,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,052",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaqib,[x],[x],"4,608",3,[x],[x],"3,412",5,"3,449",5,"4,023",4,"4,747",3,[x],[x],"2,216",9,"2,270",9,"2,194",9,"3,332",5,"3,227",5,"1,706",12,"3,589",4,"1,545",12,"1,716",10,"2,304",6,"1,629",9,"1,253",12,"2,220",5,"2,501",4,"2,097",5,[x],[x],"1,578",7,"1,765",6
Aaqil,"3,451",5,[x],[x],[x],[x],"4,749",3,"4,812",3,[x],[x],[x],[x],"4,632",3,"2,954",6,[x],[x],[x],[x],[x],[x],"3,227",5,"2,507",7,"4,333",3,[x],[x],"3,849",3,[x],[x],"3,467",3,[x],[x],"3,134",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaraf,"4,789",3,[x],[x],[x],[x],"3,959",4,"3,449",5,"4,810",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaraiz,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaran,"1,860",12,"2,404",8,"1,316",19,"1,610",15,"1,247",21,"1,903",12,"1,279",20,935,31,"1,001",28,"2,117",10,"1,447",16,"1,551",15,"1,099",23,"1,294",18,"1,169",20,"1,469",13,"1,095",19,"1,077",18,865,23,633,31,842,20,794,21,750,22,669,25,528,34,728,21
Aarash,"4,789",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarav,367,123,320,143,344,129,349,131,288,174,303,159,287,167,278,170,276,169,346,127,359,120,375,108,432,87,867,31,"1,014",24,"1,016",22,"1,377",14,[x],[x],"2,470",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaravdeep,"3,017",6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaren,"3,017",6,"4,608",3,"3,937",4,[x],[x],"3,449",5,"3,079",6,"3,908",4,[x],[x],"4,685",3,[x],[x],[x],[x],"3,332",5,[x],[x],"3,158",5,"4,333",3,"4,052",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,425",4,[x],[x],[x],[x],[x],[x]
Aarez,[x],[x],[x],[x],[x],[x],"3,412",5,[x],[x],[x],[x],[x],[x],"3,895",4,"4,685",3,[x],[x],[x],[x],[x],[x],"4,527",3,"4,432",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aari,"1,516",16,"2,076",10,"2,104",10,"3,412",5,"3,449",5,"2,556",8,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarian,"3,990",4,"2,228",9,"3,411",5,[x],[x],"3,996",4,"3,079",6,"4,747",3,"2,964",6,"2,660",7,"4,805",3,[x],[x],"3,332",5,"3,227",5,"4,432",3,"3,095",5,"4,052",3,"3,849",3,"3,651",3,"2,857",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarib,"3,017",6,[x],[x],"3,937",4,"3,412",5,"1,703",14,"2,175",10,"1,511",16,"2,079",10,[x],[x],[x],[x],"2,613",7,"3,865",4,"3,744",4,[x],[x],"3,589",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaric,[x],[x],[x],[x],[x],[x],"4,749",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,432",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarif,[x],[x],"3,848",4,[x],[x],"3,959",4,"3,996",4,[x],[x],[x],[x],"3,362",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,589",4,[x],[x],"3,849",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,943",3,[x],[x],"2,337",4,"2,863",3
Aarin,"1,391",18,"1,314",19,"1,587",15,"1,875",12,"3,040",6,"3,079",6,"3,373",5,"2,248",9,[x],[x],"4,805",3,"4,647",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,849",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaris,"3,017",6,"3,848",4,"3,013",6,"4,749",3,"4,812",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,830",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,651",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarish,"1,860",12,"1,825",12,"2,488",8,"1,786",13,"2,734",7,"1,704",14,"2,150",10,[x],[x],[x],[x],[x],[x],"2,194",9,"2,941",6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarit,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,362",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aariv,"3,017",6,"3,334",5,"2,728",7,"4,749",3,"3,996",4,"4,023",4,"2,707",7,"3,895",4,"2,954",6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aariyan,"1,516",16,"1,635",14,"1,506",16,"2,112",10,"2,324",9,"2,335",9,"2,707",7,"2,079",10,"2,660",7,"3,039",6,"3,300",5,"3,865",4,"3,227",5,"4,432",3,"2,741",6,[x],[x],"3,208",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aariz,610,61,601,59,607,61,545,69,514,77,580,63,656,52,562,64,720,45,805,39,681,47,897,32,"1,033",25,987,26,"1,306",17,"2,087",8,"2,754",5,"2,578",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarjan,[x],[x],[x],[x],"4,702",3,[x],[x],"4,812",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarlo,"3,451",5,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aarnav,[x],[x],"2,960",6,"3,937",4,"2,693",7,"3,040",6,"3,079",6,"3,373",5,"2,459",8,"2,660",7,"1,852",12,"2,039",10,"1,344",18,"2,544",7,"2,775",6,"3,589",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaro,[x],[x],"4,608",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,647",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaroh,"4,789",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaron,119,481,120,468,113,543,113,543,101,646,95,704,87,773,80,819,81,778,69,959,58,"1,147",55,"1,326",54,"1,354",55,"1,362",49,"1,509",44,"1,620",45,"1,557",41,"1,720",43,"1,636",36,"1,902",40,"1,776",36,"1,969",36,"2,151",31,"2,512",32,"2,497",33,"2,511"
Aaron-James,[x],[x],[x],[x],[x],[x],"3,412",5,"2,324",9,"4,810",3,"4,747",3,"3,362",5,"4,685",3,"2,458",8,"2,390",8,"4,678",3,"3,744",4,[x],[x],"3,589",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,859",3,[x],[x]
Aaron-Jay,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,908",4,[x],[x],[x],[x],[x],[x],"4,647",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaron-John,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,685",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Aaron-Junior,[x],[x],"2,960",6,"4,702",3,"2,693",7,"3,040",6,[x],[x],"4,747",3,"4,632",3,"3,822",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
