Name,2021 Rank,2021 Count,2020 Rank,2020 Count,2019 Rank,2019 Count,2018 Rank,2018 Count,2017 Rank,2017 Count,2016 Rank,2016 Count,2015 Rank,2015 Count,2014 Rank,2014 Count,2013 Rank,2013 Count,2012 Rank,2012 Count,2011 Rank,2011 Count,2010 Rank,2010 Count,2009 Rank,2009 Count,2008 Rank,2008 Count,2007 Rank,2007 Count,2006 Rank,2006 Count,2005 Rank,2005 Count,2004 Rank,2004 Count,2003 Rank,2003 Count,2002 Rank,2002 Count,2001 Rank,2001 Count,2000 Rank,2000 Count,1999 Rank,1999 Count,1998 Rank,1998 Count,1997 Rank,1997 Count,1996 Rank,1996 Count
Creed,871,35,"2,682",7,"3,411",5,"3,011",6,"3,040",6,[x],[x],[x],[x],"4,632",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Creegan,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,333",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"2,097",5,[x],[x],[x],[x],[x],[x]
Crew,"1,448",17,"3,334",5,"3,411",5,"4,749",3,[x],[x],[x],[x],[x],[x],"2,964",6,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Crewe,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"3,908",4,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Crimea,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,747",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,432",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cris,[x],[x],"4,608",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],"4,432",3,"4,333",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Crispin,[x],[x],"4,608",3,"3,937",4,[x],[x],"3,996",4,[x],[x],"3,373",5,"4,632",3,[x],[x],"3,039",6,"3,830",4,[x],[x],"4,527",3,"4,432",3,[x],[x],"2,870",5,"3,208",4,"3,651",3,"3,467",3,"1,519",9,"2,220",5,"3,036",3,"1,664",7,"2,074",5,[x],[x],"2,020",5
Cristi,"3,990",4,"4,608",3,[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x],[x]
Cristian,738,46,856,34,622,58,580,64,621,58,691,50,950,31,959,30,931,31,947,31,"1,688",13,"1,082",25,"1,218",20,"1,206",20,"1,201",19,"1,224",17,982,22,970,21,"1,513",10,"1,077",15,"1,135",13,"1,096",13,"1,082",13,"1,642",7,"1,345",9,"2,020",5
Cristiano,"2,730",7,"1,825",12,"1,986",11,"1,382",18,"1,247",21,"1,627",15,"1,380",18,"1,421",17,"1,706",13,"1,669",14,"1,447",16,"1,144",23,"1,358",17,"1,343",17,799,33,"1,168",18,"1,299",15,"1,110",17,"2,857",4,"2,636",4,[x],[x],"3,036",3,[x],[x],[x],[x],"2,859",3,"2,357",4
